Description,BDM ,Total,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,Sep-25,Aug-25,"Jul 2025 +Older",grouptype,groupuid
-SUYOG DISTRIBUTORS-PARBHANI,1PANDIT (MIS),           81629.00,           12764.00,               0.00,           68865.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
-SWAYAMBHU PHARMA - BALAPUR,1PANDIT (MIS),          103072.00,               0.00,               0.00,           23973.00,           79099.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
-THE NEW DEAL DAWABAZAR-KODOLI(2ND)STOP-LN,1PANDIT (MIS),           64699.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           64699.00,Detai,3047960390
-TIRUMALA PHARMACEUTICAL-NANDED,1PANDIT (MIS),            6311.00,               0.00,            6311.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
-TIRUPATI (KAKA) - PARBHANI,1PANDIT (MIS),           26370.00,           16447.00,            9923.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
-TODKAR PHARMA - AMBEJOGAI,1PANDIT (MIS),           37472.00,               0.00,               0.00,            6697.00,           12675.00,           18100.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
-TOP MEDICAL - AMBEJOGAI,1PANDIT (MIS),           91222.00,               0.00,           18457.00,               0.00,           34182.00,           38583.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
-TULSI PHARMA DISTRIBUTORS - NILANGA(LATUR),1PANDIT (MIS),            5974.00,               0.00,               0.00,               0.00,            5974.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
-V PHARMA(BABI)-NANDED,1PANDIT (MIS),           13955.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           13955.00,Detai,3047960390
-VARDAN SURGICAL-NANDED-C/B,1PANDIT (MIS),            2451.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2451.00,Detai,3047960390
-VENKATESH (PAWAN) - NANDED,1PANDIT (MIS),           43009.00,               0.00,           43009.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
-VIJAYLAXMI AGENCIES-UDGIR,1PANDIT (MIS),           40478.00,           14619.00,           17380.00,            8479.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
-VILIX - NANDED,1PANDIT (MIS),           41430.00,               0.00,           27720.00,               0.00,           13710.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
-VIRAJ DISTRIBUTORS-KILLARI-XX-C/B,1PANDIT (MIS),           65423.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           65423.00,Detai,3047960390
-VISHNUPRIYA MEDICAL - UDGIR-LN,1PANDIT (MIS),           22677.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           22677.00,Detai,3047960390
-VISION PHARMA DIST-LATUR-XX,1PANDIT (MIS),           82101.32,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           10978.32,               0.00,           71123.00,Detai,3047960390
-VITHAI AGENCIES - UDGIR,1PANDIT (MIS),           32971.00,               0.00,           19167.00,           13804.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
-VITTHALKRUPA MEDICAL STORES - NARSI(NANDED),1PANDIT (MIS),           49943.00,           13688.00,               0.00,           26082.00,           10173.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
-VYANKATESH - PARLI,1PANDIT (MIS),           92492.00,               0.00,               0.00,           47199.00,           45293.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
-XXXX APEKSHA MEDICAL-NANDED-WIND UP-XX,1PANDIT (MIS),          111535.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          111535.00,Detai,3047960390
-XXXX ATHARVA PHARMA - NANDED-XX,1PANDIT (MIS),          126531.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          126531.00,Detai,3047960390
-XXXX BHAKTI MEDICAL AGENCY - KANDHAR(NANDED),1PANDIT (MIS),           58916.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           58916.00,Detai,3047960390
-XXXX BHAVANI AGENCIES-OSMANABAD-XX,1PANDIT (MIS),           10000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           10000.00,Detai,3047960390
-XXXX DHANASHREE PHARMA -UDGIR-XX,1PANDIT (MIS),           36544.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           36544.00,Detai,3047960390
-XXXX INDIRAI MEDICAL - LOHA,1PANDIT (MIS),             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             500.00,Detai,3047960390
-XXXX KALIKA MEDICAL - KAIZ,1PANDIT (MIS),           57904.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           57904.00,Detai,3047960390
-XXXX MAYURESH-LATUR X2,1PANDIT (MIS),          215121.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          215121.00,Detai,3047960390
-XXXX NEW VED PHARMA - MUKHED,1PANDIT (MIS),           11686.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           11686.00,Detai,3047960390
-XXXX PANDIT LINGADE RTN STK A/C,1PANDIT (MIS),           -8186.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           -8186.00,Detai,3047960390
-XXXX SAHYADRI MEDICAL-AHMADPUR-XR,1PANDIT (MIS),           31303.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           31303.00,Detai,3047960390
-XXXX SAI PHARMA-DEGLUR,1PANDIT (MIS),            8826.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            8826.00,Detai,3047960390
-XXXX SANGEWAR - LOHA-TITANIC,1PANDIT (MIS),           79756.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           79756.00,Detai,3047960390
-XXXX SHRI GANESH PHARMA-NANDED #CB 10,1PANDIT (MIS),            4769.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4769.00,Detai,3047960390
-XXXX SHRI RAJRAJESHWAR MEDICAL - NANDED,1PANDIT (MIS),            1820.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1820.00,Detai,3047960390
-XXXX SHRIJI AGENCIES - NANDED,1PANDIT (MIS),               1.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               1.00,Detai,3047960390
-XXXX SHRINATH SURGICALS - LATUR -XR,1PANDIT (MIS),            4928.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4928.00,Detai,3047960390
-XXXX SHRINIVAS(NEW)PHARMA-GADEGAON #CB 3,1PANDIT (MIS),            1500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1500.00,Detai,3047960390
-XXXX SHRINIVASA PHARMA-NANDED-OLD GST-XR,1PANDIT (MIS),            9156.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            9156.00,Detai,3047960390
-XXXX SHRISHAILYA PHARMA - NANDED,1PANDIT (MIS),            4873.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4873.00,Detai,3047960390
-XXXX SIDDHIVINAYAK - NANDED -CLSOE,1PANDIT (MIS),           32208.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           32208.00,Detai,3047960390
-XXXX SUKHAKARTA - MAJALGAON,1PANDIT (MIS),            3200.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3200.00,Detai,3047960390
-XXXX SUMIT PHARMA-HIMAYATNAGAR #CB 8,1PANDIT (MIS),            4000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4000.00,Detai,3047960390
-XXXX SWAMI MEDICAL-NANDED-TITANIC,1PANDIT (MIS),           20240.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           20240.00,Detai,3047960390
-XXXX YASH MEDICAL AGENCIES-MANJALGAON,1PANDIT (MIS),           26646.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           26646.00,Detai,3047960390
-XXXXB.S.PHARMA - MAJALGAON -XR,1PANDIT (MIS),           29361.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           29361.00,Detai,3047960390
-YASH DISTR - LATUR,1PANDIT (MIS),           20092.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           20092.00,Detai,3047960390
-YASH MEDICAL - BALAPUR,1PANDIT (MIS),           83518.00,           51644.00,               0.00,           31874.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
-YASHSHRI MEDICAL - MANJALGAON,1PANDIT (MIS),           65886.00,               0.00,           25944.00,           26060.00,               0.00,           13882.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3047960390
1PANKAJ KORE,1PANKAJ KORE,          258636.00,           81763.00,          176873.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4232208567
-CONTENT PHARMA - BHIWANDI,1PANKAJ KORE,           16603.00,           16603.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,4232208567
-HUMANKIND PHARMA - KURLA,1PANKAJ KORE,           59948.00,           11442.00,           48506.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,4232208567
-KRISHNA MEDICAL AGENCY - BHIWANDI,1PANKAJ KORE,           46200.00,               0.00,           46200.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,4232208567
-MANDAR ENT - BELAPUR,1PANKAJ KORE,           18249.00,               0.00,           18249.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,4232208567
-MIHIR ENT - GHATKOPAR,1PANKAJ KORE,            8916.00,               0.00,            8916.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,4232208567
-NOBLE MEDICALS -DADAR WEST,1PANKAJ KORE,            3909.00,            3909.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,4232208567
-PHARMAKWIK HEALTHTECH - DHARAVI,1PANKAJ KORE,           32405.00,           32405.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,4232208567
-SANJIVANI SURGICAL DIST - THANE,1PANKAJ KORE,            5071.00,               0.00,            5071.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,4232208567
-SHIV SAI ENTERPRISES-BHANDUP,1PANKAJ KORE,           23127.00,           17404.00,            5723.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,4232208567
-SHRI SIDDHIVINAYAK - MULUND,1PANKAJ KORE,           44208.00,               0.00,           44208.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,4232208567
1PAYAL (MIS),1PAYAL (MIS),        10171015.54,          176645.00,          932333.00,         1225806.00,         3676096.00,          428138.00,          313659.00,          362686.00,          732760.00,          364087.80,          438551.00,          224821.30,         1295432.44,Group,3239714747
-ARIHANT MEDITECH - PUNE,1PAYAL (MIS),            8523.00,               0.00,               0.00,            -427.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1050.00,            7900.00,               0.00,               0.00,Detai,3239714747
-AVENUE HEALTHCURE PVT.LTD. - KARNATAKA,1PAYAL (MIS),           31580.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           31580.00,Detai,3239714747
-BARC (CHALLAN ONLY 1 ITEM AT A TIME),1PAYAL (MIS),          140963.00,               0.00,           41738.00,           55650.00,           43575.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-BARC HOSPITAL - GUJARAT,1PAYAL (MIS),           89603.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           17363.00,               0.00,               0.00,           72240.00,               0.00,               0.00,Detai,3239714747
-BARC HOSPITAL - HYDERABAD,1PAYAL (MIS),           62423.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           27930.00,           34493.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-BARC HOSPITAL - INDORE,1PAYAL (MIS),            8350.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1260.00,            7090.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-BARC HOSPITAL - KOLKATA,1PAYAL (MIS),           24822.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           24822.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-BARC HOSPITAL - MYSORE,1PAYAL (MIS),           61455.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6045.00,             788.00,           54622.00,               0.00,               0.00,               0.00,Detai,3239714747
-BARC HOSPITAL - ORISSA,1PAYAL (MIS),            2793.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2793.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-BARC HOSPITAL - TAMILNADU,1PAYAL (MIS),          272221.00,               0.00,               0.00,               0.00,               0.00,           76309.00,           51261.00,           98162.00,           46489.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-BARC HOSPITAL STORES - MUMBAI,1PAYAL (MIS),          843293.00,               0.00,               0.00,               0.00,          126052.00,          253543.00,           53751.00,            5218.00,          226072.00,               0.00,           56945.00,           55100.00,           66612.00,Detai,3239714747
-BHARAT DISTRIBUTORS - JALNA,1PAYAL (MIS),           38194.00,               0.00,               0.00,           38194.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-BMC-KEM HOSPITAL & GSM COLLEGE,1PAYAL (MIS),          610338.30,               0.00,               0.00,               0.00,          521640.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           88698.30,               0.00,Detai,3239714747
-BMC-M.T.AGARWAL HOSPITAL,1PAYAL (MIS),           64260.00,               0.00,           64260.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-BMC-MEDICAL STORE J BUILDING,1PAYAL (MIS),          169904.60,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           40200.00,           55708.00,           23293.80,               0.00,           49774.00,             928.80,Detai,3239714747
-BMC-SANT MUKTABAI HOSPITAL-GHATKOPAR,1PAYAL (MIS),            6217.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6217.00,Detai,3239714747
-BRIX MEDIC-DADAR,1PAYAL (MIS),            2468.00,               0.00,            2468.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-CHANDRA BHAGAT PHARMA LIMITED-MUMBAI,1PAYAL (MIS),            5880.00,               0.00,               0.00,               0.00,            5880.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-FORAM HEALTHCARE - SURAT GUJARAT,1PAYAL (MIS),          172159.00,            2410.00,           63130.00,           86126.00,            6817.00,           13676.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-GR ENTERPRISES - GHATKOPAR,1PAYAL (MIS),          253402.00,               0.00,               0.00,           18995.00,          234407.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-HEALTHY INC - ANDHERI,1PAYAL (MIS),           13383.00,               0.00,               0.00,            1638.00,               0.00,            4620.00,            7125.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-INHS ASVINI HOSPITAL - COLABA,1PAYAL (MIS),          174504.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           54893.00,               0.00,            1848.00,            9606.00,               0.00,          108157.00,Detai,3239714747
-Intellihealth Solutions PVT.LTD. - Haryana,1PAYAL (MIS),           86289.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           86289.00,Detai,3239714747
-KARWA DISTRIBUTORS -SAMBHAJINAGAR,1PAYAL (MIS),           66595.00,               0.00,               0.00,               0.00,               0.00,               0.00,           39744.00,             360.00,           19699.00,               0.00,            3573.00,            1493.00,            1726.00,Detai,3239714747
-LATA PHARMA - SOLAPUR,1PAYAL (MIS),           13398.00,               0.00,               0.00,           13398.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-MATHADI HOSPITAL-KOPERKHAIRANE,1PAYAL (MIS),          708451.00,               0.00,          108366.00,           45109.00,          551366.00,               0.00,            3610.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-MINISTRY OF RAILWAYS - BHUSAWAL,1PAYAL (MIS),            1769.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1769.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-MINISTRY OF RAILWAYS - SOLAPUR,1PAYAL (MIS),           92897.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           92897.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-PARESH PHARMACEUTICAL - KOPARKHAIRANE,1PAYAL (MIS),           24489.00,               0.00,           25616.00,               0.00,               0.00,               0.00,               0.00,           -1127.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-PRITI ENTERPRISE - BHAYANDER,1PAYAL (MIS),           10389.00,           10389.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-RUDRA ENT - CHINCHWAD,1PAYAL (MIS),          131909.00,               0.00,           21326.00,           49882.00,           60701.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-SAMRAT PHARMA - PIMPALGAON,1PAYAL (MIS),           30619.00,            3654.00,           26965.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
-SHRI SAIBABA HOSP (TO RETURN),1PAYAL (MIS),           -9305.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           -9305.00,Detai,3239714747
-SHRI SAIBABA TRUST - SHIRDI(24-25),1PAYAL (MIS),          624733.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          624733.00,Detai,3239714747
-SHRI SAIBABA TRUST - SHIRDI(25-26),1PAYAL (MIS),         5050221.00,          160192.00,          575314.00,          917241.00,         2125658.00,           79990.00,          158168.00,          112382.00,          220140.00,          283274.00,          280770.00,           29756.00,          107336.00,Detai,3239714747
-SHRI SAIBABA TRUST - SHIRDI(DONATION),1PAYAL (MIS),          259000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          259000.00,Detai,3239714747
-SUSPENCE A/C,1PAYAL (MIS),            7717.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            7717.00,Detai,3239714747
-THE COMMANDANT - MILITRY HOSPITAL CTC PUNE,1PAYAL (MIS),            4441.64,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4441.64,Detai,3239714747
-THE MINISTRY OF DEFENCE - NASHIK CITY,1PAYAL (MIS),            3264.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3264.00,               0.00,               0.00,Detai,3239714747
-THE MINISTRY OF DEFENCE -AHMEDNAGAR,1PAYAL (MIS),            4253.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4253.00,               0.00,               0.00,Detai,3239714747
-YESHWANT SC - GHATKOPAR,1PAYAL (MIS),            3150.00,               0.00,            3150.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3239714747
1PRAVIN PAWAR (MIS),1PRAVIN PAWAR (MIS),         4541192.36,          331847.00,          986857.00,          974734.00,          341591.00,               0.00,               0.00,               0.00,             500.00,               0.00,               0.00,               0.00,         1905663.36,Group,3261785047
-AADHYA MEDICAL - YELAVI,1PRAVIN PAWAR (MIS),           31604.00,               0.00,               0.00,               0.00,           31604.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-AAROGYAM PHARMA-PUNE (CHAKAN),1PRAVIN PAWAR (MIS),           51235.00,               0.00,               0.00,               0.00,           51235.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-ADITYA AGENCIES - INDAPUR(PUNE),1PRAVIN PAWAR (MIS),           15561.00,               0.00,               0.00,           15561.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-AMRUT PHARMA - MANGALWEDHA,1PRAVIN PAWAR (MIS),            9608.00,               0.00,               0.00,            9608.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-AMULYA AGENCIES-LONAND -XX,1PRAVIN PAWAR (MIS),           30946.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           30946.00,Detai,3261785047
-ANIKET PHARMA AND SURGICAL - AKLUJ,1PRAVIN PAWAR (MIS),           66517.00,               0.00,           36173.00,           30344.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-ARIHANT DIST - ARAG,1PRAVIN PAWAR (MIS),            6476.00,               0.00,               0.00,               0.00,            6476.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-ASHTAVINAYAKA - WAI(SATARA),1PRAVIN PAWAR (MIS),           22921.00,           22921.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-ATHARV - VADUJ,1PRAVIN PAWAR (MIS),           34021.00,               0.00,               0.00,           34021.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-AVATAR DIST - ICHALKANJI,1PRAVIN PAWAR (MIS),            3975.00,               0.00,            3975.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-AVNI MEDICAL AGENCY - SATARA,1PRAVIN PAWAR (MIS),          120378.00,           53694.00,           53901.00,               0.00,           12783.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-AYANSH PHARMACEUTICAL-MHASWAD,1PRAVIN PAWAR (MIS),           26550.00,               0.00,           26550.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-BE LIFE SURGICALS-ICHALKANJI,1PRAVIN PAWAR (MIS),            5775.00,               0.00,            5775.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-DHANWANTARI DIST - KOLHAPUR,1PRAVIN PAWAR (MIS),           25231.00,            7875.00,               0.00,           17356.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-DR AKSHATA DHAIRYASHEEL PATIL-SANGLI,1PRAVIN PAWAR (MIS),           10054.00,               0.00,             672.00,            8416.00,             966.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-GANESH PHARMA-BARSHI X,1PRAVIN PAWAR (MIS),          148973.00,           52548.00,           86389.00,            1500.00,            8536.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-GIRIRAJ AGENCIES - KARMALA (E5%),1PRAVIN PAWAR (MIS),           22137.00,               0.00,            2233.00,           19904.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-GIRNAR ENT - MIRAJ,1PRAVIN PAWAR (MIS),           12636.00,               0.00,           12636.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-J.P.PHARMA - VADUJ,1PRAVIN PAWAR (MIS),           55464.00,               0.00,               0.00,           55464.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-K.NAGDEV - SOLAPUR,1PRAVIN PAWAR (MIS),            4199.00,               0.00,               0.00,            4199.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
-KIRAN DISTRIBUTORS -MIRAJ,1PRAVIN PAWAR (MIS),            3556.00,               0.00,            3556.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3261785047
