Description,BDM ,Total,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,Sep-25,Aug-25,"Jul 2025 +Older",grouptype,groupuid
-SHRI SEVA MEDICAL AGENCY - DIGRAS,SUSPENCE A/C,            4632.88,               0.00,               0.00,               0.00,            1000.00,               0.00,               0.00,            3632.88,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SHRI SHANTIGURU - AKKALKUWA,SUSPENCE A/C,             500.00,               0.00,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SHRI SIDDHA PHARMA-GADCHIROLI-XX,SUSPENCE A/C,            7200.89,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6700.89,Detai,2541934124
-SHRI SIDDHIVINAYAK - MULUND,SUSPENCE A/C,             500.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SHRI SIDDHIVINAYAK MEDI-BIDRI-(WINDLAS),SUSPENCE A/C,            8443.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            8443.00,Detai,2541934124
-SHRI SWAMI SAMARTH PHARMA-NANDED-AKUMS,SUSPENCE A/C,           15750.13,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           15750.13,Detai,2541934124
-SHRI SWAMI SAMARTH SURGI - KAMOTHE XX,SUSPENCE A/C,            3633.46,               0.00,               0.00,               0.00,               0.00,               0.00,            3633.46,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SHRI SWAMI SAMARTH-OZAR-XX,SUSPENCE A/C,            2787.90,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2787.90,Detai,2541934124
-SHRI TULJAI ENTERPRISES-DHULE-XX,SUSPENCE A/C,           16626.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           16626.00,Detai,2541934124
-SHRI VAKRATUND PHARMA-SAYKHEDA-XX,SUSPENCE A/C,            9859.67,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            9859.67,Detai,2541934124
