Description,Total,Aug-26,Jul-26,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,"Sep 2025+Older",grouptype,groupuid
AKABANI AGENCIES - KARANJA LAD -ERIS-XX,          209094.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          209094.00,Group,1104801451
AKASH MEDICAL & SURGICAL -BEED,          141899.00,               0.00,               0.00,           14155.00,           36540.00,           91204.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2861462826
AKSHAD PHARMA - HINGOLI,           53743.00,               0.00,           20477.00,           17993.00,           15273.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,799987525
AKSHARA MEDICAL AGENCIES-AKOLA,            2370.00,               0.00,               0.00,               0.00,            2370.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1279480599
AKSHAY AGENCY - BALAJI NAGAR-XX,            3500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3500.00,Group,1449644323
AKSHAY AGENCIES - PANDHARPUR,           22856.00,               0.00,            3990.00,            1754.00,           17112.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2573236173
AKSHIT PHARMA-PUSAD-X,          253585.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          253585.00,Group,1635306687
AL-ZIDAN PHARMA-BANDRA(E)-LN,           99459.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           99459.00,Group,2124972706
ALAK HEALTH CARE PVT LTD-GUJARAT,            6734.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4579.00,               0.00,            2155.00,Group,3238381233
ALIF KIDS- MUMBRA (DIAPERS),           16775.00,               0.00,               0.00,               0.00,               0.00,           16775.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3416613058
ALKARIM MEDICAL & PHARMA - AMRAVATI,           45291.00,           38566.00,               0.00,               0.00,            6725.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,700134908
ALL INDIA DRUG - KANDIVALI,           86885.00,           14221.00,           33656.00,           26886.00,           12122.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1684876298
ALPHA PHARMACEUTICALS - SOLAPUR,            8134.00,               0.00,            8134.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4061479103
ALTIUZ PHARMACY-MALAD-X,           21308.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           21308.00,Group,4014910953
AMAAN DISTRIBUTORS- PUNE-XX,          404681.89,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          404681.89,Group,2607351085
AMAR PHARMA (RAHUL) - VASAI,           48225.00,           17004.00,           11361.00,           12032.00,            7828.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2764143834
AMAR PHARMA - JOGESHWARI,            2394.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2394.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3150771310
AMARI TRADE ALLIANCE LLP-LOWER PAREL,            6115.00,            3633.00,               0.00,            2482.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3673014711
AMARNATH PHARMA - PARBHANI,           14947.00,               0.00,               0.00,           14947.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,500034378
AMBADNYA ENTERPRISES-SHAHAPUR -XX,           62163.20,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             500.00,               0.00,               0.00,           61663.20,Group,1868310005
AMBICA - PARATWADA,          391299.00,           72903.00,          188335.00,           81585.00,           48476.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3282434147
AMBICA DRUG (TENDER) - PUNE,           14289.00,               0.00,           14289.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2993303515
AMBICA PHARMA (JOHNLEE)-SALE-BHIWANDI,          580918.00,          228690.00,          157915.00,           23100.00,          171213.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2317482640
