Description,Total,Aug-26,Jul-26,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,"Sep 2025 +Older",grouptype,groupuid
RITICAL HEALTHCARE - MIRA ROAD,          317277.00,               0.00,           10915.00,               0.00,           27145.00,           68620.00,          207455.00,               0.00,            3142.00,               0.00,               0.00,               0.00,               0.00,Group,3459448416
RIYADH MEDICAL - NORTH SUDAN,         -339482.19,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,         -339482.19,               0.00,Group,2914313550
RMPL PHARMA LLP (SALE) - MARINE LINES,          873912.00,           95235.00,          778677.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,188418635
ROHINI PHARMA - FURSUNGI,            7975.00,            7975.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3821234682
ROHIT DIST - PARLI,           37637.00,           25349.00,               0.00,           12288.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3615121631
ROHIT ENTERPRISES-CHINCHWAD,          114945.00,           13230.00,           53945.00,           39926.00,            7844.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1331744876
ROKDESHWAR PHARMA-BALAPUR-KALAMNURI,           57845.00,           18551.00,           13212.00,           26082.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,476540240
ROMA DISTRIBUTORS - DHULE,           10248.00,               0.00,           10248.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,777754469
RONEFORD HEALTHCARE LLP - BHAYANDER,           48681.00,               0.00,           48631.00,               0.00,              50.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4208314158
ROOPAM MEDICARE - KURLA,           14779.00,               0.00,           14779.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2166722716
ROTATION PHARMACEUTICAL - AMRAVATI,          240715.00,           35150.00,           30729.00,          174836.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3533599157
ROYAL AGENCY - BHIWANDI,          193025.00,          193025.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2849285981
ROYAL CHEMIST-J.J             .,           29988.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           29988.00,Group,263217970
ROYAL MEDICAL AGENCIES-NANDED,          217371.00,           73796.00,           80816.00,           62759.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2468171367
ROYAL MEDICAL (SALE) - ASAN,          160414.00,               0.00,          160414.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1302818402
ROYAL MEDICAL AGENCIES-NANDED-(AKUMS),            2160.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2160.00,Group,843551167
ROYAL MEDICAL AGENCIES-NANDED-ELDER,           30860.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           30860.00,Group,1112839658
ROYAL PHARMA - AKOLA,           29088.00,           12655.00,               0.00,           16433.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2168553331
ROYAL PHARMA AGENCIES-NASIK-XX-C/B,           99514.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           99514.00,Group,685055008
RUBY HALL CLINIC SERVICES PVT LTD - PUNE,            1030.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1030.00,Group,99291006
RUBY PHARMA - AMBERNATH-XX,           67301.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           67301.00,Group,3949739516
RUCHA DISTRIBUTOR-PANDHARKAWDA,           61837.00,               0.00,           40463.00,               0.00,               0.00,           21374.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2675162554
RUCHA ENTERPRISES - CHEMBUR,           63851.00,           63851.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2329119781
RUDRA AGENCIES-WASHIM-XX,          137032.38,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          137032.38,Group,2521694545
RUDRA ENT - CHINCHWAD,          149668.00,               0.00,           49140.00,           79202.00,           21326.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4026933635
RUDRA PHARMA - KAGAL,           19527.00,               0.00,               0.00,               0.00,           19527.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2143525475
RUDRA PHARMA-MOWAD,          219070.00,           30276.00,          127718.00,               0.00,           61076.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2226650291
RUDRA PHARMA - ULHASNAGAR,          407266.00,               0.00,           11000.00,          126655.00,           71170.00,            2000.00,           27000.00,           67288.00,          100153.00,            1000.00,               0.00,            1000.00,               0.00,Group,1254934162
RUDRAKSH PHARMA - NASIK,          258777.00,               0.00,           56742.00,           95722.00,          106313.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3162916962
RUDRANI MEDICAL - WALUNJ,           27589.00,           12122.00,               0.00,           15467.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1226873978
RUGVED PHARMA-PUNE -XX,           16000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           16000.00,Group,3124447230
RUPESH AGENCIES-LATUR,           38929.00,               0.00,           26070.00,           12859.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3741875798
RUSHABH PHARMA- AKOLA-XX,           63892.00,               0.00,               0.00,               0.00,             500.00,             500.00,            1500.00,            1000.00,               0.00,               0.00,               0.00,               0.00,           60392.00,Group,278632146
RUSHABH PHARMA -THANE,            3307.00,               0.00,            2189.00,               0.00,               0.00,            1118.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1864995458
RUSHABH PHARMA-AKOLA-AKUMS-XX,            1000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1000.00,Group,392448807
RUSHABH SUR - SADASHIV PETH,           54564.00,           18178.00,           36386.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4240052768
RUSHI PHARMA - TAKLI DHOKESHWAR,          226301.00,          108194.00,           46769.00,           40110.00,           31228.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2575345185
RUSHIKRUPA AGENCY-GHEVRAI(BEED),           49719.00,            6952.00,           36443.00,            6324.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,675656172
RUSHIL PHARMA - BHUSAWAL,          106460.00,           37795.00,           18386.00,           50279.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,598597005
RUTVA MEDICARE - SURAT,           14963.00,           14963.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2104977214
RUTVIKART - TALEGAON,          137674.00,           42364.00,           68244.00,           27066.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1240858613
RX PHARMA - LATUR,           19002.00,            8650.00,            5469.00,            4883.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,839733273
RX TO GX PHARMA,           52575.00,               0.00,               0.00,           52575.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2016391434
RYTOZ INDIA PVT LTD - CHINCHWAD-LN,           35814.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           35814.00,Group,1275174259
Ramesh Medical & General Store- JALNA,            1903.00,               0.00,               0.00,               0.00,               0.00,            1903.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1441558564
S D INDIA MEDICARE - DOMBIVALI XX,          487444.00,            1000.00,             500.00,            1000.00,            3500.00,            2000.00,           69493.00,           26578.00,          223565.00,          159808.00,               0.00,               0.00,               0.00,Group,3298877258
S K PHARMA - BODWAD,           14919.62,               0.00,               0.00,             643.62,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           14276.00,Group,3775339190
S M PHARMA - NANDED,           67617.00,           34346.00,               0.00,           23557.00,            9714.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3335444066
S N PHARMA-NAGPUR,          227075.00,           12821.00,           12305.00,            5040.00,          196909.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,11905881
S P PHARMA - DADAR,           13833.00,               0.00,            4725.00,            7310.00,               0.00,               0.00,            1798.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1378771375
S P PHARMA-MANKHURD-XX,           22741.32,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           22741.32,Group,2689815984
S.A.CORPORATION - PRINCESS STREET,           12600.00,           12600.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3834257265
S.A.MEDICAL - NALASOPARA,           48275.00,            8435.00,           14395.00,           23229.00,               0.00,            2216.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3844401737
S.A.S KIDS WEAR-MUMBRA (DIAPERS),            2608.00,               0.00,            2608.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1968134125
S.D.P MEDICAL - DHULE,            3068.45,               0.00,             500.00,            1219.45,               0.00,               0.00,               0.00,               0.00,            1349.00,               0.00,               0.00,               0.00,               0.00,Group,3865287
S.F MARINE OFSHORE- MASJID BUN.,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3180365348
S.G ENTERPRISE - NERUL XX,          248429.43,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           42673.29,               0.00,               0.00,            3000.00,               0.00,          202756.14,Group,3738158909
S.G.ENT - NALASOPARA XX,           37654.00,               0.00,          -59919.00,           35154.00,               0.00,               0.00,            2500.00,            8326.00,               0.00,               0.00,               0.00,               0.00,           51593.00,Group,2044226933
S.HIMATLAL HEALTHCARE LLP (SALE),           92391.00,               0.00,               0.00,           64050.00,           27773.00,            -114.00,             682.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2716826720
S.K AGENCY - NASIK-LN,           69395.09,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           69395.09,Group,2331041199
S.K DISTRIBUTORS-NERUL-XX,           29730.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           29730.00,Group,1985004396
S.K PHARMA - BHIWANDI XX,            1456.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1000.00,               0.00,             456.00,               0.00,               0.00,               0.00,               0.00,Group,1671986307
S.K PHARMA - WARJE,           90985.00,           25578.00,           38509.00,               0.00,           26898.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3720971069
S.K.PHARMA - GOA,           79922.00,           18900.00,            8274.00,           52748.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1541956015
S.M AGENCIES-PALAM,          116584.00,           33381.00,           48270.00,           12441.00,           22492.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2359764170
S.M. PHARMA & SURGICAL - KATRAJ,           13445.00,            6767.00,               0.00,            6678.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1746922644
S.MATHURADAS (SALE) - PR STR,            1605.00,               0.00,            1605.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3596853016
S.N.PHARMA-AHMEDPUR (NEW GST),           10854.00,           10854.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1355319776
S.PHARMA - PUSAD,          116530.00,           17316.00,           61912.00,           37302.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3474359250
S.R. Enterprises -,           45360.00,           45360.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,276874686
S.R.ENTERPRISES-KOPARKHAIRANE -XX,           67053.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           67053.00,Group,2144111369
S.R.PHARMAHUB - MAZGAON-LN,           78320.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           78320.00,Group,506023818
S.R.PHARMATECH - NAGPUR,           34049.00,               0.00,           34049.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4283672598
S.R.PHARMA - PR STR-XX,           15801.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           15801.00,Group,3515718682
S.S.DIST - MADHAVNAGAR,            9277.00,            9277.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,21950044
S.S.MEDICOS-CHANDRAPUR,           41858.00,            1000.00,            1000.00,               0.00,            1500.00,               0.00,               0.00,             500.00,               0.00,           35206.00,            2652.00,               0.00,               0.00,Group,2121778333
S.S.PHARMA - KOLHAPUR,           57229.00,           10673.00,           15519.00,           31037.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,858873053
SAANVI PHARMA-GHANSOLI ERIS -XX,          228730.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          228730.00,Group,2170651765
SAAVI PHARMA - KAPURAVHOL XX,             500.00,               0.00,               0.00,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1814581379
SACHIDANAND PHARMACEUTICAL-NANDED,           13849.00,               0.00,            3683.00,               0.00,           10166.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2588973737
SACHIN ENTERPRISES-AKOLA,          196869.00,           81696.00,          115173.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,592519477
SADGURU KRUPA - NERUL(CASH ONLY)- XX,           15299.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           15299.00,Group,1772858947
SADGURU MEDICAL - SHIKRAPUR,           47421.00,               0.00,               0.00,           26392.00,               0.00,           21029.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2961667186
SAEEL DIST - RAJGURUNAGAR X,          223366.00,               0.00,               0.00,            1000.00,            2500.00,            2000.00,           62054.00,               0.00,           47790.00,           34118.00,           67675.00,               0.00,            6229.00,Group,3550748998
SAEEL NXT - RAJGURUNAGAR,           23604.00,           23604.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4283398884
SAFE CARE PHARMA - DIWA (NEW),          328638.40,               0.00,               0.00,           43341.00,               0.00,               0.00,               0.00,           27254.00,               0.00,          108211.00,               0.00,               0.00,          149832.40,Group,3065779614
SAFELIFE PHARMA - ULWE,          237662.00,          116372.00,           44312.00,           55688.00,           21290.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1084822114
SAGAR ENTERPRISES - DAWA BAZAR (SALE),          199033.00,          140300.00,           58733.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3260359574
SAGAR ENTERPRISE - SAMBHAJINAGAR-XX,           17368.97,               0.00,               0.00,               0.00,               0.00,             500.00,               0.00,               0.00,             500.00,            1000.00,               0.00,               0.00,           15368.97,Group,2455330172
SAGAR PHARMA & SURGICAL - NANDED,           74155.00,           12212.00,               0.00,            7139.00,           54804.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2182809213
SAHARA MEDICAL AGENCIES - NANDED,           29146.00,           12177.00,           16969.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,670649874
SAHARA SURGICAL-BULDHANA-CONCEPT,            7634.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            7634.00,Group,1605511577
SAHIL ENTERPRISES-CURREY ROAD,           63133.00,               0.00,           63133.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1283348963
SAHIL PHARMA-KALEWADI-XX,          320242.28,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          320242.28,Group,2665709139
SAHIL SERVICES - DHANKAWADI (PUNE),           15026.00,           11104.00,               0.00,            3922.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3669786769
SAHYADRI AGENCY - MAJALGAON,          114540.00,               0.00,           53702.00,           40487.00,            4814.00,           15537.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,135769727
SAHYADRI MEDICAL - MOSHI,           10054.00,               0.00,           10054.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3506951919
SAHYADRI MEDICAL-BULDHANA-XX,           39224.89,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           39224.89,Group,826238373
SAHYADRI MEDICARE - KOLHAPUR,           21084.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           21084.00,               0.00,Group,2456322157
SAHYADRI PHARMA- THERGAON,          370182.00,           52019.00,          179376.00,           65077.00,           73710.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,84431566
SAI AGENCIES - MURUD (ALIBAG),           41582.00,           42422.00,               0.00,               0.00,               0.00,            -840.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1104373567
SAI ARIHANT (ANAND) - WAGHOLI,           84537.00,               0.00,           57237.00,               0.00,               0.00,           27300.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1148783475
SAI BABA AGENCIES-AMRAVATI-XX,           10615.00,               0.00,               0.00,             500.00,               0.00,               0.00,             500.00,            9615.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2131321093
SAI CARE PHARMA - NAGPUR,            7093.00,               0.00,               0.00,               0.00,               0.00,               0.00,            6161.00,             932.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,571941394
SAI DISTRIBUTORS - PUNE,            1000.00,               0.00,               0.00,             500.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4053075373
SAI DISTRIBUTORS - NALASOPARA,          181193.00,           34058.00,           37646.00,           69188.00,           40301.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4119847785
SAI GANESH - KANDIVALI,            1402.00,            1402.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1961050458
SAI HEALTHCARE-VAIJAPUR(AURNGABAD),            4410.00,               0.00,               0.00,               0.00,            4410.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,437352443
SAI KRUPA MEDI AGENCY-AKOLA,          146617.00,           34162.00,           53513.00,           58942.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1931210314
SAI KRUPA AGENCIES  - ULHASNAGAR,          383587.00,           92221.00,           59561.00,          180090.00,           51715.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1513527054
SAI LEELA ENT - NASIK,           52500.00,            8413.00,           30468.00,           13619.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2325687057
SAI MEDICAL - HALI KHURD(LATUR)-STOP-LN,          181018.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          181018.00,Group,740805521
SAI MEDICAL - K.MAHAKAL-XX,           23000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           23000.00,Group,3139390512
SAI MEDICARE - HADAPSAR-LN,          358757.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          358757.00,Group,1933983042
SAI MEDILINK - PUNE,           24649.00,               0.00,               0.00,           24649.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1885696986
SAI PHARMA -AMBERNATH,           82112.00,           16104.00,           39796.00,           16996.00,            9216.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1755679063
SAI PHARMACEUTICALS - MANCHAR  -adv XX,           74008.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           74008.00,Group,1370706901
SAI PHARMA - HADAPSAR,          153301.00,          133323.00,           19978.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2186606738
SAI PHARMACEUTICAL - HAVELI-LN,          148219.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          148219.00,Group,3806686231
SAI PHARMA - NANDED-LN,           53128.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           53128.00,Group,4008593983
SAI PHARMA WHOLESALE-SINNAR,           31709.00,           16972.00,           14737.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1841477846
SAI PHARMA-WORLI,            3485.00,               0.00,               0.00,             872.00,             699.00,            1914.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2969790624
SAI PREM HEALTHCARE-KALYAN-E,           22379.00,               0.00,           -3000.00,               0.00,           25379.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1212509579
SAI SAMARTH - CHALISGAON,           33061.00,               0.00,           20178.00,           12883.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3068417927
SAI SHRADDHA ENTERPRISES - SAMBHAJINAGAR,           49917.15,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           49917.15,Group,1799963642
SAI SHRADDHA ENTERPRISES-KOPARKHAIRANE,            8636.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            8636.00,Group,2311844561
SAI SIDDHI PHARMA - RASHIN,           65105.00,               0.00,               0.00,               0.00,               0.00,           18301.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           46804.00,Group,1406541793
SAI SURGICALS - NALASOPARA -XX CLOSE SHOP,           11700.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           11700.00,Group,3529941311
SAI VENKATESHWARA - KINWAT - XX,            2410.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2410.00,Group,3663138324
SAIDATTA PHARMA - YEOLA,           22205.00,               0.00,            8777.00,               0.00,               0.00,               0.00,               0.00,           13428.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1461340940
SAIDEEP DISTRIBUTORS - CHOPDA,           28221.00,               0.00,            6250.00,           21971.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3254113505
SAIDHAM - GONDIA,           58096.00,           37792.00,            1819.00,               0.00,           18485.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3126082773
SAIFEE PHARMA-GULALWADI,           32394.00,            8925.00,           23469.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,455066263
SAIKRIPA AGENCIES - JARIPATKA(NAGPUR)-XX,           53976.58,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             500.00,               0.00,           53476.58,Group,3525367379
SAIKRIPA DISTRIBUTORS - NAGPUR,            3279.00,               0.00,               0.00,               0.00,               0.00,            3279.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2072932252
SAIKRIPA DISTRIBUTORS - SANPADA,          225764.00,          131252.00,          100190.00,           -5678.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3845973874
SAIKRUPA MEDICALS - KOPERGAON,            9438.00,               0.00,            5196.00,               0.00,            4242.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1824089986
SAIKRUSHNA ENTERPRISES-NASIK,           10572.00,               0.00,           10572.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,109656188
SAILAXMI AGENCY-GONDIA,           53938.00,            2898.00,               0.00,           51040.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2277943521
SAINATH AGENCIES - MURUD(LATUR),          303440.00,          122343.00,           77662.00,           92935.00,           10500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,183415622
SAINATH DISTRIBUTORS- BASMAT,           53494.00,           34157.00,           19337.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4082273495
SAINATH MEDICOS - NAGPUR,           76923.00,           21483.00,           44100.00,           11340.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3403199095
